fipscode,state,county,year,v001_rawvalue,v009_rawvalue,v011_rawvalue,v036_rawvalue,v042_rawvalue,v049_rawvalue,v060_rawvalue,v070_rawvalue,v139_rawvalue,v143_rawvalue,county_ranked
30049,MT,Lewis and Clark Coun,2018,6095.324227,0.154970336,0.253,2.964566152,3.153275281,0.218257017,0.083,0.187,0.115,0.253423506,1
30053,MT,Lincoln County,2018,7944.534386,0.166397059,0.265,3.98976039,3.530292556,0.185986694,0.109,0.246,0.159,0.255662525,1
30057,MT,Madison County,2018,5002.738172,0.14217057,0.221,2.951957962,2.949945982,0.200200684,0.091,0.221,0.11,0.259145127,1
30059,MT,Meagher County,2018,9685.647739,0.169635558,0.235,3.847210048,3.558449651,0.178707507,0.081,0.24,0.122,0.270712736,1
30061,MT,Mineral County,2018,13523.15605,0.168940419,0.269,3.690637675,3.560744753,0.175079145,0.1,0.256,0.154,0.265267219,1
30063,MT,Missoula County,2018,5827.641546,0.176190489,0.227,3.739335839,3.601146325,0.260470238,0.063,0.151,0.14,0.274278817,1
30065,MT,Musselshell County,2018,11824.10172,0.183111849,0.285,3.824700352,3.502929916,0.177220863,0.1,0.265,0.127,0.285233946,1
30067,MT,Park County,2018,7397.531588,0.154552126,0.236,3.296122263,3.11886085,0.196528865,0.081,0.214,0.122,0.280381153,1
30071,MT,Phillips County,2018,6630.575913,0.182628126,0.293,3.823301195,3.6518069,0.184946446,0.094,0.291,0.134,0.275587791,1
30073,MT,Pondera County,2018,7821.727879,0.196736462,0.316,3.772161456,3.779577735,0.205642115,0.096,0.251,0.146,0.281004931,1
30075,MT,Powder River County,2018,8290.844053,0.156312047,0.258,3.397081465,3.256633805,0.190595587,0.077,0.294,0.107,0.242862966,1
30077,MT,Powell County,2018,8117.88851,0.183432419,0.299,3.355255532,3.207634095,0.239003603,0.099,0.276,0.129,0.273764888,1
30081,MT,Ravalli County,2018,6711.682532,0.166211537,0.246,3.709279272,3.487402796,0.17650345,0.08,0.229,0.141,0.274232736,1
30083,MT,Richland County,2018,7600.349376,0.168142155,0.307,3.125673024,2.965836365,0.239492082,0.074,0.281,0.113,0.295309107,1
30085,MT,Roosevelt County,2018,22872.78929,0.277931633,0.344,4.865040683,4.631829736,0.206859924,0.123,0.288,0.179,0.317613262,1
30087,MT,Rosebud County,2018,14493.05464,0.214612975,0.338,4.09157724,3.863442395,0.208102266,0.103,0.25,0.143,0.298105593,1
30089,MT,Sanders County,2018,10322.46621,0.173944235,0.261,3.926786448,3.868498238,0.167294531,0.101,0.243,0.164,0.274982809,1
30091,MT,Sheridan County,2018,9733.752102,0.1460363,0.308,3.181089934,3.053930748,0.200544264,0.085,0.29,0.103,0.249963028,1
30093,MT,Silver Bow County,2018,8956.481314,0.181087787,0.257,3.658825433,3.359305473,0.220665077,0.086,0.22,0.145,0.283307956,1
30095,MT,Stillwater County,2018,8342.903506,0.134570277,0.225,3.064246406,2.990728451,0.20173613,0.075,0.221,0.095,0.271559951,1
30097,MT,Sweet Grass County,2018,4380.483209,0.13736739,0.262,3.076513262,3.111640637,0.202019888,0.093,0.217,0.113,0.256548463,1
30099,MT,Teton County,2018,5697.95859,0.153074461,0.248,3.055339979,3.148724052,0.1906233,0.087,0.277,0.117,0.277590866,1
30101,MT,Toole County,2018,6376.20578,0.188040341,0.242,3.471755267,3.293233926,0.23175674,0.075,0.211,0.142,0.273067989,1
30105,MT,Valley County,2018,8776.607726,0.1743529,0.281,3.451750983,3.427648084,0.189447256,0.107,0.26,0.117,0.267585525,1
30107,MT,Wheatland County,2018,6816.299506,0.169057313,0.264,3.620379314,3.510387378,0.18136497,0.102,0.262,0.151,0.280097134,1
30111,MT,Yellowstone County,2018,7344.81041,0.163664564,0.257,3.383438882,3.436303005,0.220931336,0.082,0.217,0.111,0.296547862,1
31001,NE,Adams County,2018,6364.977222,0.165925655,0.348,3.215714589,3.188988685,0.190031144,0.105,0.247,0.116,0.301104321,1
31003,NE,Antelope County,2018,5227.449308,0.150292417,0.289,2.865198424,2.940071498,0.19202437,0.107,0.283,0.12,0.253935344,1
31011,NE,Boone County,2018,7447.058372,0.140926533,0.308,2.783490083,3.012372031,0.212870528,0.092,0.294,0.112,0.271877731,1
31013,NE,Box Butte County,2018,8332.453863,0.18301096,0.362,3.085147083,3.146738828,0.199974192,0.11,0.25,0.124,0.30734691,1
31015,NE,Boyd County,2018,4345.760855,0.151311307,0.356,3.009835234,3.080420724,0.170483674,0.148,0.307,0.118,0.269896517,1
